Date,Sales,Clicks,Views,Click-Through Rate,Product Price,Competitor Price,Daily Cost,Profit,Weekday,Promotion Intensity,inventory
2013/3/12,154,16550,65042,25.45%,99.49,101.03,14973.84,347.62,2,0,2930
2013/3/13,185,14019,100319,13.97%,101.88,108.02,18457.36,390.44,3,0,2776
2013/3/14,162,18491,182890,10.11%,98.78,109.58,15651.78,350.58,4,0,2591
2013/3/15,195,19932,75760,26.31%,102.03,113.96,19492.85,403,5,0,2429
2013/3/16,168,15993,66258,24.14%,93.7,95.36,15411.36,330.24,6,0,2234
2013/3/17,150,14779,60125,24.58%,100.63,100.63,14746.03,348.47,0,0,2066
2013/3/18,181,12540,49320,25.43%,99.2,109.8,17583.92,371.28,1,0,1916
2013/3/19,165,12379,107822,11.48%,98.47,103.74,15896.33,351.22,2,0,1735
2013/3/20,163,15835,92228,17.17%,99.29,103.08,15830.34,353.93,3,0,1570
2013/3/21,151,15659,127129,12.32%,95.18,95.36,14050,322.18,4,0,1407
2013/3/22,178,19243,70585,27.26%,98.75,106.75,17212.71,364.79,5,0,1256
2013/3/23,165,19379,86259,22.47%,99.95,112.71,16131.75,360,6,0,3459
2013/3/24,157,19386,116656,16.62%,102.23,116.91,15687.09,363.02,0,0,3294
2013/3/25,211,19068,169175,11.27%,98.27,106.61,20341.7,393.27,1,0,3137
2013/3/26,176,16229,100057,16.22%,97.73,105.27,16842.04,358.44,2,0,2926
2013/3/27,171,15829,95912,16.50%,98.39,99.65,16468.62,356.07,3,0,2750
2013/3/28,165,17634,71705,24.59%,101.26,109.6,16341.03,366.87,4,0,2579
2013/3/29,162,17915,78743,22.75%,100.12,105.83,15862.61,356.83,5,0,2414
2013/3/30,189,19058,68691,27.74%,98.44,107.4,18232.53,372.63,6,0,2252
2013/3/31,171,13271,68251,19.44%,100.57,106.43,16829.69,367.78,0,0,2063
2013/4/1,169,13181,106367,12.39%,99.77,103.37,16499.82,361.31,1,0,1892
2013/4/2,166,15040,61982,24.27%,101.55,103,16487.84,369.46,2,0,1723
2013/4/3,149,14231,56437,25.22%,98.24,102.88,14300.91,336.85,3,0,1557
2013/4/4,175,16264,76624,21.23%,99.03,100.47,16966.3,363.95,4,0,1408
2013/4/5,180,18483,72712,25.42%,98.93,101.56,17438.7,368.7,5,0,1233
2013/4/6,157,16387,82446,19.88%,96.82,111.16,14864.7,336.04,6,0,3434
2013/4/7,172,15951,77982,20.45%,100.38,107.07,16897.16,368.2,0,0,3277
2013/4/8,170,13169,70988,18.55%,100.34,108.35,16691.71,366.09,1,0,3105
2013/4/9,191,12201,116107,10.51%,99.86,112.95,18688.69,384.57,2,0,2935
2013/4/10,156,14731,121164,12.16%,99.41,114.26,15158.44,349.52,3,0,2744
2013/4/11,182,15585,146632,10.63%,97.08,105.57,17308.98,359.58,4,0,2588
2013/4/12,168,14633,64382,22.73%,99.11,111.19,16291.2,359.28,5,0,2406
2013/4/13,163,17492,107397,16.29%,99.29,104.16,15831.1,353.17,6,0,2238
2013/4/14,172,16128,79954,20.17%,98.4,102.91,16566.35,358.45,0,0,2075
2013/4/15,175,18033,64057,28.15%,99.72,105.74,17081.81,369.19,1,0,1903
2013/4/16,184,15029,100287,14.99%,100.88,111.06,18176.92,385,2,0,1728
2013/4/17,150,13958,76660,18.21%,103.87,114.5,15216.74,363.76,3,0,1544
2013/4/18,156,13854,55170,25.11%,100.47,105.22,15320.01,353.31,4,0,1394
2013/4/19,183,14049,96384,14.58%,100.67,102.68,18040.84,381.77,5,0,1238
2013/4/20,185,15961,138315,11.54%,100.03,109.52,18124.74,380.81,6,0,3436
2013/4/21,156,15608,98815,15.80%,96.37,98.23,14700.17,333.55,0,0,3251
2013/4/22,170,15657,118394,13.22%,100.18,108.87,16664.17,366.43,1,0,3095
2013/4/23,197,16009,55987,28.59%,100.38,110.82,19382.24,392.62,2,0,2925
2013/4/24,185,14638,55950,26.16%,105.21,116.27,19054.06,409.79,3,0,2728
2013/4/25,138,14831,65426,22.67%,99.92,111.21,13454.78,334.18,4,0,2543
2013/4/26,179,18450,67264,27.43%,100.94,114.16,17688.47,379.79,5,0,2405
2013/4/27,177,16346,62692,26.07%,100.29,107.81,17379.68,371.65,6,0,2226
2013/4/28,177,16136,117511,13.73%,98.04,108.78,16992.47,360.61,0,0,2049
2013/4/29,161,15429,55398,27.85%,102.69,112.23,16163.62,369.47,1,0,1872
2013/4/30,156,14393,69240,20.79%,101.93,104.78,15538.89,362.19,2,0,1711
2013/5/1,149,15298,58503,26.15%,102.03,102.42,14848.07,354.4,3,0,1555
2013/5/2,114,11709,41934,27.92%,98.65,102.86,10938.47,307.63,4,0,1406
2013/5/3,151,12395,75763,16.36%,103.29,110.15,15234.31,362.48,5,0,1292
2013/5/4,145,15360,125890,12.20%,97.7,106.74,13837.84,328.66,6,0,3522
2013/5/5,159,10629,73007,14.56%,101.7,114.67,15806.99,363.31,0,0,3377
2013/5/6,152,11285,60861,18.54%,104.93,108.02,15576.33,373.03,1,0,3218
2013/5/7,150,14609,55420,26.36%,98.58,100.44,14446.69,340.31,2,0,3066
2013/5/8,113,11885,43671,27.21%,99.45,113.82,10929.4,308.45,3,0,2916
2013/5/9,152,14101,139076,10.14%,100.8,102.43,14969.06,352.54,4,0,2803
2013/5/10,176,12854,63586,20.22%,99.61,106.76,17161.42,369.94,5,0,2651
2013/5/11,174,13175,71805,18.35%,97.53,106.1,16616.11,354.11,6,0,2475
2013/5/12,140,12436,86109,14.44%,100.79,108.97,13770.9,339.7,0,0,2301
2013/5/13,102,12323,99400,12.40%,98.54,99.81,9755.66,295.42,1,0,2161
2013/5/14,130,12534,74819,16.75%,101.63,102.5,12879.98,331.92,2,0,2059
2013/5/15,138,12021,41655,28.86%,98.85,100.41,13311.05,330.25,3,0,1929
2013/5/16,125,10287,62481,16.46%,103.81,112.93,12640.85,335.4,4,0,1791
2013/5/17,138,11892,58363,20.38%,99.15,107.25,13351.76,330.94,5,0,1666
2013/5/18,151,14201,59022,24.06%,100.09,103.6,14767.81,345.78,6,0,1528
2013/5/19,168,11886,68814,17.27%,102.37,112.16,16822.81,375.35,0,0,1377
2013/5/20,155,12970,44062,29.44%,98.29,110.38,14894.05,340.9,1,0,1209
2013/5/21,149,14066,48090,29.25%,101.22,101.85,14732.84,348.94,2,0,3435
2013/5/22,158,13659,90844,15.04%,103.39,111.12,15964.47,371.15,3,0,3286
2013/5/23,134,13891,69646,19.95%,97.57,107.66,12756.03,318.35,4,0,3128
2013/5/24,156,13619,85025,16.02%,101.16,104.99,15423.41,357.55,5,0,2994
2013/5/25,151,11427,72798,15.70%,101.32,106,14945.98,353.34,6,0,2838
2013/5/26,127,11291,105152,10.74%,102.37,111.79,12667.31,333.68,0,0,2687
2013/5/27,110,11937,53791,22.19%,98.34,111.59,10516.18,301.22,1,0,2560
2013/5/28,139,9704,48390,20.05%,98.18,110.11,13318.95,328.07,2,0,2450
2013/5/29,145,13832,125408,11.03%,101.87,110.78,14421.81,349.34,3,0,2311
2013/5/30,127,12223,78488,15.57%,101.43,112.54,12552.39,329.22,4,0,2166
2013/5/31,133,13827,49092,28.17%,101.34,106.89,13144.05,334.17,5,0,2039
2013/6/1,146,13041,88167,14.79%,101.54,111.3,14476.92,347.92,6,0,1906
2013/6/2,110,5518,42782,12.90%,99.49,106.45,10638.31,305.59,0,0,1760
2013/6/3,90,4109,20764,19.79%,101.32,104.21,8826.38,292.42,1,0,1650
2013/6/4,120,9849,33147,29.71%,101.44,112.12,11849.69,323.11,2,0,1560
2013/6/5,75,8339,56188,14.84%,99.43,107.73,7184.07,273.18,3,0,1440
2013/6/6,125,9938,42392,23.44%,104.59,110.22,12732.35,341.4,4,0,1365
2013/6/7,147,8898,35264,25.23%,101.81,115.73,14614.3,351.77,5,0,1240
2013/6/8,106,11080,75104,14.75%,98.48,98.79,10139.95,298.93,6,0,3474
2013/6/9,96,11076,45089,24.56%,102.17,107.01,9509.39,298.93,0,0,3368
2013/6/10,102,9628,55474,17.36%,98.91,99.75,9793.05,295.77,1,0,3272
2013/6/11,92,7994,35299,22.65%,102.43,114.21,9126,297.56,2,0,3170
2013/6/12,104,11126,49076,22.67%,103.18,114.05,10418.95,311.77,3,0,3078
2013/6/13,99,9042,43648,20.72%,99.21,104.14,9526.51,295.28,4,0,2974
2013/6/14,96,10501,88947,11.81%,102.78,113.2,9564.4,302.48,5,0,2875
2013/6/15,121,7907,29607,26.71%,101.68,107.72,11979.41,323.87,6,0,2779
2013/6/16,121,9292,56604,16.42%,102.49,114.12,12073.84,327.45,0,0,2658
2013/6/17,143,10082,73428,13.73%,104.64,111.77,14603.05,360.47,1,0,2537
2013/6/18,124,12162,112449,10.82%,100.35,106.56,12122.94,320.46,2,0,2394
2013/6/19,113,8878,40691,21.82%,99.32,113.25,10916.76,306.4,3,0,2270
2013/6/20,106,9042,38392,23.55%,99.05,102.78,10199.56,299.74,4,0,2157
2013/6/21,122,13010,125922,10.33%,99.19,100.98,11785.84,315.34,5,0,2051
2013/6/22,85,7378,36449,20.24%,100.66,109.49,8271.51,284.59,6,0,1929
2013/6/23,90,10416,71686,14.53%,101.49,116.25,8840.86,293.24,0,0,1844
2013/6/24,111,11206,48927,22.90%,101.35,107.09,10936.55,313.3,1,0,1754
2013/6/25,113,8819,65387,13.49%,102.44,103.39,11255.33,320.39,2,0,1643
2013/6/26,91,10830,45468,23.82%,100.8,105.93,8881.44,291.36,3,0,1530
2013/6/27,113,9938,56037,17.73%,103.68,111.55,11392.58,323.26,4,0,1439
2013/6/28,99,10055,34992,28.74%,100.23,102.66,9624.54,298.23,5,0,1326
2013/6/29,127,10560,82820,12.75%,106.19,116.67,13138.91,347.22,6,0,1227
2013/6/30,102,9999,59442,16.82%,101.99,117.25,10098.28,304.7,0,0,3481
2013/7/1,91,8663,70606,12.27%,99.01,105.72,8724.56,285.35,1,0,3379
2013/7/2,65,5720,20074,28.49%,98.57,103.81,6146.17,260.88,2,0,3288
2013/7/3,54,6316,22928,27.55%,101.66,107.77,5234.56,255.08,3,0,3223
2013/7/4,65,3472,22904,15.16%,100.24,101.97,6249.95,265.65,4,0,3169
2013/7/5,44,4894,21095,23.20%,102.1,115.63,4246.58,245.82,5,0,3104
2013/7/6,54,8181,31053,26.35%,101.6,107.92,5229.03,257.37,6,0,3060
2013/7/7,97,6313,29913,21.10%,100.5,106.34,9453.18,295.32,0,0,3006
2013/7/8,65,4854,23571,20.59%,98.93,108.72,6167.99,262.46,1,0,2909
2013/7/9,46,6957,46889,14.84%,97.58,104.05,4247.74,240.94,2,0,2844
2013/7/10,12,7626,64289,11.86%,99.7,109.39,984.89,211.51,3,0,2798
2013/7/11,41,2751,9844,27.95%,102.29,103.23,3948.85,245.04,4,0,2786
2013/7/12,69,3405,12157,28.01%,100.99,113.32,6698.19,270.12,5,0,2745
2013/7/13,57,5413,23885,22.66%,98.05,111.88,5337.67,251.18,6,0,2676
2013/7/14,38,5791,34510,16.78%,100.87,110.69,3593.92,239.14,0,0,2619
2013/7/15,25,4381,25794,16.98%,101.27,115.77,2306.36,225.39,1,0,2581
2013/7/16,53,8435,34401,24.52%,98.72,100.96,4982.18,249.98,2,0,2556
2013/7/17,33,2932,10493,27.94%,100.77,107.99,3090.98,234.43,3,0,2503
2013/7/18,64,7139,25733,27.74%,100.56,109.64,6171,264.84,4,0,2470
2013/7/19,57,7039,27498,25.60%,98.14,106.7,5340.15,253.83,5,0,2406
2013/7/20,80,4376,19158,22.84%,101.12,107.21,7809.19,280.41,6,0,2349
2013/7/21,61,5170,44253,11.68%,101.5,106.65,5928.08,263.42,0,0,2269
2013/7/22,31,6686,50526,13.23%,102.52,104.47,2944.36,233.76,1,0,2208
2013/7/23,75,9010,32211,27.97%,102.44,108.46,7403.54,279.46,2,0,2177
2013/7/24,76,4393,19852,22.13%,97.55,99.93,7145.48,268.32,3,0,2102
2013/7/25,75,4835,47476,10.18%,98.41,109.25,7112.17,268.58,4,0,2026
2013/7/26,40,5561,46228,12.03%,101.29,104.46,3811.54,240.06,5,0,1951
2013/7/27,34,4972,21366,23.27%,101.26,102.15,3206.99,235.85,6,0,1911
2013/7/28,34,6333,62695,10.10%,101.24,109.63,3207.68,234.48,0,0,1877
2013/7/29,57,6772,51240,13.22%,107.89,117.52,5879.89,269.84,1,0,1843
2013/7/30,51,8037,38317,20.98%,101.3,114.55,4913.9,252.4,2,0,1786
2013/7/31,59,3621,15190,23.84%,102.4,111.26,5780.32,261.28,3,0,1735
2013/8/1,39,6167,26767,23.04%,102.01,107.3,3735.93,242.46,4,0,1676
2013/8/2,2,2368,16347,14.49%,101.38,113.59,-2.02,204.78,5,0,1637
2013/8/3,34,781,3221,24.25%,99.42,107.48,3147.86,232.42,6,0,1635
2013/8/4,18,0,0,0.00%,101.54,102.75,1607.83,219.89,0,0,1601
2013/8/5,24,4795,29046,16.51%,98.45,106.81,2140.53,222.27,1,0,1583
2013/8/6,5,3584,14376,24.93%,99.49,113.04,292.47,204.98,2,0,1559
2013/8/7,0,0,0,0.00%,98.96,104.84,0,0,3,0,1554
2013/8/8,11,2159,8000,26.99%,100.07,104.52,889.89,210.88,4,0,1554
2013/8/9,9,5336,23047,23.15%,104.5,106.75,728.88,211.62,5,0,1543
2013/8/10,18,5277,24697,21.37%,96.11,98.29,1513.45,216.53,6,0,1534
2013/8/11,16,6144,51745,11.87%,101.19,107.76,1401.95,217.09,0,0,1516
2013/8/12,40,4427,25509,17.35%,96.56,105.19,3628.23,234.17,1,0,1500
2013/8/13,33,4728,30893,15.30%,98.81,100,3027.23,233.5,2,0,1460
2013/8/14,10,4688,31505,14.88%,101.9,116.26,807.19,211.81,3,0,1427
2013/8/15,41,2145,7281,29.46%,99.81,111.12,3852.15,240.06,4,0,1417
2013/8/16,57,3360,18810,17.86%,97.5,106.08,5306.5,251,5,0,1376
2013/8/17,17,2058,7391,27.84%,98.19,110.39,1452.98,216.25,6,0,1319
2013/8/18,0,3357,14839,22.62%,100.94,102.15,0,0,0,0,1302
2013/8/19,31,3184,12295,25.90%,98.09,105.11,2810.74,230.05,1,0,1302
2013/8/20,41,4296,21423,20.05%,99.95,109.4,3856.66,241.29,2,0,1271
2013/8/21,47,916,4252,21.54%,99.57,111.95,4434.74,245.05,3,0,1230
2013/8/22,0,3584,18055,19.85%,98.14,109.67,0,0,4,0,3564
2013/8/23,0,4273,30730,13.90%,103.7,108.01,0,0,5,0,3564
2013/8/24,52,6367,26041,24.45%,100.64,114.84,4982.2,251.08,6,0,3564
2013/8/25,38,4914,31468,15.62%,95.29,97.07,3387.15,233.87,0,0,3512
2013/8/26,8,2398,22867,10.49%,99.67,112.75,589.84,207.52,1,0,3474
2013/8/27,15,3084,13461,22.91%,97.94,112.2,1254.73,214.37,2,0,3466
2013/8/28,0,1112,8211,13.54%,100.93,103.61,0,0,3,0,3451
2013/8/29,18,0,67,0.00%,97.6,108.17,1538.72,218.08,4,0,3451
2013/8/30,24,3944,14253,27.67%,98.92,99.52,2148.78,225.3,5,0,3433
2013/8/31,23,0,94,0.00%,100.12,106.21,2079.82,222.94,6,0,3409
2013/9/1,0,4082,14289,28.57%,100.8,108.61,0,0,0,0,3386
2013/9/2,15,807,4347,18.56%,96.63,105.05,1235.91,213.54,1,0,3386
2013/9/3,17,0,780,0.00%,98.32,112.12,1453.36,218.08,2,0,3371
2013/9/4,21,2763,9332,29.61%,98,107.88,1838.47,219.53,3,0,3354
2013/9/5,15,389,3380,11.51%,97.61,104.66,1250.23,213.92,4,0,3333
2013/9/6,39,3075,19082,16.11%,102.41,114.85,3752.5,241.49,5,0,3318
2013/9/7,0,1088,7873,13.82%,99.64,113.85,0,0,6,0,3279
2013/9/8,33,2084,13559,15.37%,96.27,96.59,2948.74,228.17,0,0,3279
2013/9/9,39,0,144,0.00%,100.59,115.41,3683.65,239.36,1,0,3246
2013/9/10,0,1630,9338,17.46%,102.96,104.29,0,0,2,0,3207
2013/9/11,42,4775,26685,17.89%,100.73,113.03,3987.77,242.89,3,0,3207
2013/9/12,51,1820,6769,26.89%,95.59,99.61,4630.43,244.66,4,0,3165
2013/9/13,34,493,1723,28.61%,97.62,99.56,3087.19,231.89,5,0,3114
2013/9/14,20,3423,30004,11.41%,101.08,107.75,1799.88,221.72,6,0,3080
2013/9/15,3,2690,18972,14.18%,97.09,106.47,85.76,205.51,0,0,3060
2013/9/16,0,2322,9913,23.42%,99.35,105.03,0,0,1,0,3057
2013/9/17,25,387,2253,17.18%,99.97,100.79,2272.49,226.76,2,0,3057
2013/9/18,23,1794,11893,15.08%,96.52,105.2,1999.9,220.06,3,0,3032
2013/9/19,10,1647,10354,15.91%,98.21,111.5,772.98,209.12,4,0,3009
2013/9/20,37,1829,11117,16.45%,91.8,97.08,3167.88,228.72,5,0,2999
2013/9/21,27,220,815,26.99%,96.19,99.31,2374.43,222.7,6,0,2962
2013/9/22,20,2627,20632,12.73%,97.69,104.18,1735.68,218.12,0,0.11,2935
2013/9/23,9,4811,19898,24.18%,95.66,96.35,651.39,209.55,1,0,2915
2013/9/24,0,804,3818,21.06%,101.37,113.85,0,0,2,0,2906
2013/9/25,11,2627,16490,15.93%,95.2,107,836.81,210.39,3,0,2906
2013/9/26,0,774,4207,18.40%,97.14,105.71,0,0,4,0,2895
2013/9/27,26,5827,38527,15.12%,98.24,103.44,2329.87,224.37,5,0,2895
2013/9/28,16,2835,12752,22.23%,100.81,112.9,1394.22,218.74,6,0,2869
2013/9/29,43,1537,13213,11.63%,95.01,102.92,3848.11,237.32,0,0,2853
2013/9/30,0,655,6482,10.10%,100.17,112.58,0,0,1,0,2810
2013/10/1,22,1028,4557,22.56%,97.82,107.09,1930.27,221.77,2,0,2810
2013/10/2,27,714,5142,13.89%,95.79,107.06,2362.62,223.71,3,0.1,2788
2013/10/3,53,4191,36702,11.42%,98.63,107.49,4976.58,250.81,4,0,2761
2013/10/4,50,815,4544,17.94%,98.06,104.15,4657.52,245.48,5,0,2708
2013/10/5,44,3259,29585,11.02%,96.41,110.26,4004.68,237.36,6,0,2658
2013/10/6,43,3689,13302,27.73%,97.7,105.63,3961.13,239.97,0,0,2614
2013/10/7,54,3722,35271,10.55%,96.75,105.53,4978.02,246.48,1,0,2571
2013/10/8,59,2785,12907,21.58%,97.7,100.93,5510.74,253.56,2,0.09,2517
2013/10/9,28,1689,8998,18.77%,98.75,108.02,2537.63,227.37,3,0,2458
2013/10/10,59,1277,5447,23.44%,100.55,109.17,5672.33,260.12,4,0,2430
2013/10/11,34,5130,30972,16.56%,94.86,97.49,2997.11,228.13,5,0,2371
2013/10/12,31,4348,33188,13.10%,101.55,102.46,2916.75,231.3,6,0,2337
2013/10/13,11,3574,12059,29.64%,93.34,101.8,817.33,209.41,0,0,2306
2013/10/14,27,4319,16128,26.78%,96.89,107.99,2390.81,225.22,1,0,2295
2013/10/15,5,2838,10430,27.21%,98.32,106.04,286.02,205.58,2,0,2268
2013/10/16,54,3789,25251,15.01%,97.66,100.98,5023.08,250.56,3,0,2263
2013/10/17,32,5011,46498,10.78%,95.81,105.39,2839.2,226.72,4,0,2209
2013/10/18,6,4302,26778,16.07%,96.59,97.75,372.93,206.61,5,0,2177
2013/10/19,34,4895,23599,20.74%,95.97,102.33,3033.02,229.96,6,0,2171
2013/10/20,57,4621,27950,16.53%,95.73,98.08,5208.4,248.21,0,0,2137
2013/10/21,7,1686,6348,26.56%,98.56,101.29,482.4,207.52,1,0,2080
2013/10/22,35,5917,38345,15.43%,97.53,100.49,3179.81,233.74,2,0,2073
2013/10/23,25,0,337,0.00%,95.38,100.91,2163.25,221.25,3,0,2038
2013/10/24,41,3737,31921,11.71%,98.52,99.28,3799.53,239.79,4,0,2013
2013/10/25,7,2943,26672,11.03%,97.29,103.1,474.08,206.95,5,0,1972
2013/10/26,38,1953,9468,20.63%,98.25,105.79,3498.64,234.86,6,0,1965
2013/10/27,33,178,855,20.82%,97.84,104.93,2998.76,229.96,0,0,1927
2013/10/28,29,2126,9345,22.75%,94.87,100.32,2526.79,224.44,1,0,1894
2013/10/29,50,2973,12123,24.52%,95.37,107.37,4526.42,242.08,2,0,1865
2013/10/30,24,5070,17176,29.52%,97.93,100.06,2126.19,224.13,3,0,1815
2013/10/31,77,1127,5544,20.33%,97.61,105.01,7247.25,268.72,4,0,1791
2013/11/1,48,386,2345,16.46%,96.3,97.2,4379.72,242.68,5,0,1714
2013/11/2,71,5381,20773,25.90%,96.53,97.56,6591.78,261.85,6,0,1666
2013/11/3,70,6493,42116,15.42%,98.81,107.32,6649.91,266.79,0,0,1595
2013/11/4,73,6541,34830,18.78%,95.02,103.09,6675.28,261.18,1,0,1525
2013/11/5,49,4652,40210,11.57%,97.25,110.06,4521.39,243.86,2,0,1452
2013/11/6,73,7041,67012,10.51%,95.7,103.71,6723.07,263.03,3,0,1403
2013/11/7,60,6581,22496,29.25%,95.63,109.4,5487.83,249.97,4,0,1330
2013/11/8,64,3496,13084,26.72%,98.21,98.93,6025.52,259.92,5,0,1270
2013/11/9,108,7994,33420,23.92%,97.62,99.06,10244.31,298.65,6,0,1206
2013/11/10,77,6929,38115,18.18%,97.55,98.19,7241.93,269.42,0,0,3479
2013/11/11,78,6671,49539,13.47%,98.49,101.23,7408.09,274.13,1,0,3402
2013/11/12,80,7316,55725,13.13%,95.87,103.65,7401.09,268.51,2,0,3324
2013/11/13,106,6436,42892,15.01%,97.15,106.56,10004.88,293.02,3,0,3244
2013/11/14,80,4954,23607,20.99%,95.12,95.77,7342.33,267.27,4,0,3138
